deviceId,strength started at
2898072377646645370,2020-12-01 13:53:53.062000 +00:00
2923724825753026654,2021-04-01 15:23:31.244000 +00:00
2910847345568514167,2021-01-25 15:15:07.823000 +00:00
2912336084312522928,2021-02-15 18:40:48.892000 +00:00
2916584854923509877,2021-01-10 17:52:15.087000 +00:00
2903880002359525382,2020-11-11 10:39:09.991000 +00:00
2894941720183570671,2021-10-20 15:21:35.033000 +00:00
2917654684032303192,2020-12-08 12:54:06.893000 +00:00
2886627565408092412,2020-09-03 10:27:43.999000 +00:00
2913864405475131408,2020-10-02 15:47:41.802000 +00:00
2938636660130185377,2020-12-04 17:25:45.317000 +00:00
2906130702661582897,2020-12-09 18:09:15.617000 +00:00
2908210858435805229,2022-01-08 12:16:25.588000 +00:00
2935007176541864187,2020-08-22 11:29:03.847000 +00:00
2936274655767429174,2021-03-19 13:36:30.160000 +00:00
2919060955109261387,2020-12-04 11:54:29.475000 +00:00
2901823653639356552,2021-01-25 17:06:31.731000 +00:00
2909715952398499923,2020-09-30 14:54:10.670000 +00:00
2928923321024118908,2021-03-04 17:36:53.331000 +00:00
2935310384069869786,2021-02-03 11:31:20.519000 +00:00
2890572351152324720,2021-04-13 15:25:35.370000 +00:00
2901556734290034760,2020-09-14 16:36:20.332000 +00:00
2907962227057229920,2021-10-27 11:19:49.325000 +00:00
2931054432240009341,2020-10-23 14:10:51.809000 +00:00
2928425147784233033,2021-12-07 16:17:01.574000 +00:00
2896696630919037119,2021-04-14 14:16:22.724000 +00:00
2920190999676321962,2021-03-05 10:56:28.877000 +00:00
2896955016151564461,2021-03-01 12:18:19.986000 +00:00
2943396188285567058,2021-08-06 16:13:38.032000 +00:00
2923227850792239216,2021-05-28 13:17:58.598000 +00:00
2950473744633561320,2021-02-01 11:22:44.206000 +00:00
2899923697546559690,2021-03-12 10:28:08.941000 +00:00
2946154862959657047,2021-01-12 13:47:31.106000 +00:00
2936073354962010271,2021-12-07 14:24:59.816000 +00:00
2933265288147239024,2020-10-08 08:32:45.321000 +00:00
2921121439899713660,2020-08-22 11:27:52.600000 +00:00
2952894873532891354,2021-01-22 13:00:00.014000 +00:00
2907259639127081023,2021-10-08 11:33:27.904000 +00:00
