device_id,pour_time
2883006929435623495,2020-08-27 06:37:37.778000 +00:00
2904797888393511097,2020-07-03 15:18:14.022000 +00:00
2923508544051347505,2020-06-05 15:19:39.027000 +00:00
2916244070726631456,2019-11-22 18:41:04.955000 +00:00
2916650885733941472,2020-09-07 14:45:25.726000 +00:00
2923146512668033245,2020-02-21 13:11:11.478000 +00:00
2887648805535088880,2020-06-26 05:48:33.699000 +00:00
2942538882731737321,2020-02-28 17:38:48.797000 +00:00
2913064051187646558,2020-02-26 17:29:54.491000 +00:00
2940795057273307345,2020-06-04 05:46:57.126000 +00:00
2890813199999828019,2020-07-17 06:59:59.310000 +00:00
2906101075960398072,2020-01-29 12:54:54.466000 +00:00
2927392014825685216,2020-08-06 09:16:15.324000 +00:00
2936103445452554355,2020-08-25 07:11:13.121000 +00:00
2890875906539126842,2020-03-18 16:09:20.169000 +00:00
2896737634938257597,2020-08-05 14:10:09.566000 +00:00
2901495221751644226,2020-05-28 12:43:06.612000 +00:00
2945842915156426964,2020-08-13 06:37:00.041000 +00:00
2883562169939525767,2020-03-19 15:17:41.738000 +00:00
2942212319188353234,2020-03-13 16:52:41.784000 +00:00
2946032026878214383,2020-02-11 17:30:27.129000 +00:00
2937959129022464154,2020-02-07 19:18:57.941000 +00:00
2907236605183918248,2020-07-22 16:11:32.991000 +00:00
2894060092213166109,2020-03-23 15:25:51.867000 +00:00
2944172744125710460,2020-03-05 15:36:52.084000 +00:00
2890583402069622834,2020-07-15 08:34:33.054000 +00:00
2933501773324746793,2020-05-21 14:43:06.180000 +00:00
2915409532811214988,2020-01-27 12:04:50.983000 +00:00
2943417396800520359,2020-01-16 09:57:48.102000 +00:00
2884588864674988272,2020-07-21 12:26:55.184000 +00:00
2919706200931041313,2020-05-21 14:41:10.438000 +00:00
2904746211347005665,2020-07-03 10:27:39.407000 +00:00
2914312224501661850,2020-06-11 10:19:20.033000 +00:00
2946059514668908742,2020-03-18 11:22:02.027000 +00:00
2909741327048507428,2020-03-23 16:24:16.810000 +00:00
2901985599642665038,2020-06-15 16:05:24.563000 +00:00
2947985854745805009,2020-05-22 12:49:39.662000 +00:00
2915038739694616579,2020-06-24 06:03:02.076000 +00:00
2892119681806631106,2020-01-27 16:43:48.533000 +00:00
2927156457344335996,2020-07-24 12:19:19.531000 +00:00
2912962019927785648,2020-01-30 07:59:26.319000 +00:00
2921738330330628265,2020-08-11 15:03:24.889000 +00:00
2922182266740277488,2020-07-01 08:24:08.017000 +00:00
2928282619244183624,2020-01-16 12:31:14.694000 +00:00
2931945096771272706,2020-08-25 16:03:38.929000 +00:00
2928105335879106764,2020-07-07 09:44:45.413000 +00:00
2932793919747916030,2020-08-05 14:09:40.255000 +00:00
2939179878987071495,2020-05-28 15:27:10.858000 +00:00
2908154955091148925,2020-02-05 10:48:04.378000 +00:00
2884804622373879935,2020-03-11 16:40:27.471000 +00:00
2905180784727949533,2020-06-05 10:30:02.688000 +00:00
2915841632307773553,2020-03-06 19:01:02.002000 +00:00
2890773651957743717,2020-03-19 12:36:02.225000 +00:00
2940166132344029224,2020-02-26 17:31:23.454000 +00:00
2948026549544157275,2020-01-13 08:52:57.084000 +00:00
2931602882367062237,2020-07-03 18:00:12.130000 +00:00
2924107769298550813,2020-02-04 12:55:44.854000 +00:00
2942988587265687779,2020-03-03 17:25:01.201000 +00:00
2925220479360827496,2020-08-25 16:02:44.700000 +00:00
2895964446352474136,2020-02-19 07:32:08.138000 +00:00
2933373134759264285,2020-05-15 10:56:35.646000 +00:00
2909257541932286123,2020-03-12 16:52:53.012000 +00:00
2948265147862352019,2020-08-06 09:15:35.835000 +00:00
2942523231854133451,2020-06-23 14:08:53.374000 +00:00
2946533150760632574,2020-07-03 12:49:19.260000 +00:00
2935171931487338735,2020-03-12 15:50:17.405000 +00:00
2897842644124172354,2020-09-02 06:53:34.220000 +00:00
2938261769614786669,2020-02-18 13:19:08.588000 +00:00
2952349812101480638,2020-03-06 07:52:56.300000 +00:00
2911822668183371996,2020-07-22 11:14:00.978000 +00:00
2886582317927628897,2020-02-20 07:35:48.539000 +00:00
