payload_id,vehicle_id,driver_id,source_plant_id,source_plant_longitude,source_plant_latitude,home_plant_site_id,home_plant_longitude,home_plant_latitude,max_load_size_cubic_meters
001c65aa-82dc-46d1-966d-894db663957b,324a919d-d5c8-46d2-bb86-2fa3fa474ff3,4e3e7fd8-be5b-4232-a375-fac4664afc81,0192e3bb-c1a6-43e2-822d-939d65d73582,-77.010936,38.783485,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
002ed04c-62e0-4e1b-82e4-1286e77d4d00,d0ffdecb-ab31-49ee-8a50-b934369b42eb,f3e98899-2538-4f2f-ba91-afd8cbaf1e29,0192e3bb-c1a6-43e2-822d-939d65d73582,-77.027827,38.991601,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
0042f058-4a24-43de-81b1-f5aa8f5e42c5,cd9ad771-43cf-4321-9c19-615fa6f58f47,1a4d88f5-b285-4a7c-bd2c-1c48c0f1dda0,838b9197-8901-453b-a00d-3adadf70059b,,,838b9197-8901-453b-a00d-3adadf70059b,-77.002487,38.949333,7.6453
0046a335-8d61-47f0-bc44-40664d5fc12c,f3e61269-119e-4454-b2ef-2c22359a25cb,53aba44f-d687-4138-a2ac-e0a5fa30bd25,0192e3bb-c1a6-43e2-822d-939d65d73582,-77.000184,38.927235,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,6.8808
004aa1e6-44b6-485e-9905-90375e133ad2,48eab46a-bf0d-4e2d-aa4c-221b3cf57842,2c0fa6f1-a4ed-4015-8554-e721643912bf,0192e3bb-c1a6-43e2-822d-939d65d73582,-77.016142,38.973081,8dc47559-87ab-47cb-9e0d-0b3be32e45cb,-76.773875,39.152645,7.6453
0052cb60-161a-4689-af7a-c2ab32502bc0,9c99ae50-a2b1-43fc-b7dd-610238060af5,c95c3ff9-1bd5-40ad-b192-216487f429cf,39bd8b72-f702-40bb-8332-831e81c11558,,,39bd8b72-f702-40bb-8332-831e81c11558,-76.901823,39.041992,7.6453
005ae85b-d27d-4707-b6d6-b82a8177a7d9,b8705c20-5028-4cea-9b0c-05f9faaeba05,3a3826f0-fb40-4985-907a-e08d428ea548,0192e3bb-c1a6-43e2-822d-939d65d73582,-77.076400,38.995484,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
0066053f-a297-4186-9f45-cdc0c70a053f,6d6bbfde-9414-4a67-abe6-62834bb22021,81605d6f-c3cf-49aa-88e8-1104a36e0359,0192e3bb-c1a6-43e2-822d-939d65d73582,,,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
0072a6c0-2390-4516-a841-8e99f511bac7,d0ffdecb-ab31-49ee-8a50-b934369b42eb,f3e98899-2538-4f2f-ba91-afd8cbaf1e29,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.940959,38.980064,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
008c5cf6-2dcd-4f36-b50e-2ca58c663c67,f00b12a2-1380-4c86-90de-05cfa1cbcfe9,d983fedd-7f51-487b-8d95-56e2de2a276f,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.939742,38.979848,0192e3bb-c1a6-43e2-822d-939d65d73582,-76.933662,38.927014,7.6453
