device_id,pour_time
2.91805E+18,2019-11-04 14:06:04.468000 +00:00
2.92152E+18,2020-09-07 06:07:46.764000 +00:00
2.94389E+18,2020-09-02 06:06:03.757000 +00:00
2.90206E+18,2019-10-14 13:39:08.713000 +00:00
2.94156E+18,2020-09-08 15:20:08.387000 +00:00
2.9018E+18,2020-06-26 14:04:34.606000 +00:00
2.88855E+18,2020-05-11 11:09:52.784000 +00:00
2.93688E+18,2020-08-17 16:18:27.162000 +00:00
2.94686E+18,2020-07-28 16:27:59.418000 +00:00
2.91774E+18,2020-10-06 13:51:15.165000 +00:00
2.91489E+18,2020-09-16 17:07:03.716000 +00:00
2.93318E+18,2019-10-30 13:57:06.729000 +00:00
2.93621E+18,2020-09-09 16:39:17.615000 +00:00
2.94812E+18,2020-09-08 07:46:46.232000 +00:00
2.94858E+18,2020-07-03 13:16:38.388000 +00:00
2.94693E+18,2020-08-05 08:27:56.760000 +00:00
2.91149E+18,2020-10-14 16:24:47.358000 +00:00
2.94973E+18,2020-08-05 17:01:32.739000 +00:00
2.91257E+18,2020-08-24 17:02:11.417000 +00:00
2.92183E+18,2019-10-26 07:07:38.857000 +00:00
2.88379E+18,2020-08-17 11:38:51.750000 +00:00
2.9284E+18,2019-11-06 08:11:26.023000 +00:00
2.89278E+18,2020-05-09 18:05:00.409000 +00:00
2.93889E+18,2020-10-02 06:08:36.445000 +00:00
2.95006E+18,2019-10-21 07:44:11.523000 +00:00
2.93653E+18,2019-11-19 08:09:08.666000 +00:00
2.93862E+18,2020-07-06 15:44:38.996000 +00:00
2.93338E+18,2020-09-26 12:45:35.223000 +00:00
2.95426E+18,2020-08-11 17:18:15.786000 +00:00
2.92402E+18,2019-10-07 16:13:06.889000 +00:00
2.91597E+18,2020-07-13 16:58:30.168000 +00:00
2.89795E+18,2019-10-14 15:57:01.956000 +00:00
2.88509E+18,2020-05-29 14:53:52.382000 +00:00
2.89233E+18,2020-10-02 06:09:07.287000 +00:00
2.88296E+18,2020-10-12 06:25:09.975000 +00:00
2.8936E+18,2020-10-07 17:09:06.026000 +00:00
2.93428E+18,2020-06-24 16:44:30.514000 +00:00
2.90127E+18,2019-10-17 13:31:25.864000 +00:00
2.89638E+18,2020-07-27 06:19:11.529000 +00:00
2.93565E+18,2019-10-21 07:08:08.909000 +00:00
2.95234E+18,2020-06-18 14:03:42.114000 +00:00
2.88437E+18,2020-10-14 10:50:17.984000 +00:00
2.89504E+18,2020-09-15 15:11:39.129000 +00:00
2.91873E+18,2020-08-19 16:55:54.647000 +00:00
2.95324E+18,2020-08-24 14:41:44.447000 +00:00
2.91935E+18,2020-10-12 15:58:27.619000 +00:00
2.91064E+18,2020-09-28 16:33:47.382000 +00:00
2.88997E+18,2020-08-10 08:12:20.488000 +00:00
2.95294E+18,2020-10-07 08:22:39.052000 +00:00
2.88386E+18,2020-09-25 10:38:10.558000 +00:00
2.92653E+18,2019-11-13 15:28:52.626000 +00:00
2.93618E+18,2020-09-11 07:27:41.751000 +00:00
2.91687E+18,2020-07-20 16:12:10.012000 +00:00
2.88716E+18,2020-06-03 14:34:36.724000 +00:00
2.91784E+18,2020-09-03 07:38:55.455000 +00:00
2.92887E+18,2020-08-28 06:06:55.972000 +00:00
2.88693E+18,2019-10-18 07:14:23.081000 +00:00
2.92954E+18,2019-10-28 13:30:22.979000 +00:00
2.91773E+18,2020-08-04 07:14:29.906000 +00:00
2.89933E+18,2020-05-18 09:34:45.776000 +00:00
2.92906E+18,2020-09-25 10:35:28.203000 +00:00
2.95346E+18,2019-11-13 18:22:13.815000 +00:00
2.88327E+18,2019-10-08 07:49:09.098000 +00:00
2.9262E+18,2020-09-17 16:08:05.787000 +00:00
2.88957E+18,2020-08-13 15:23:12.173000 +00:00
2.88895E+18,2020-08-19 06:15:21.459000 +00:00
