order_id,product_item_id,start_time,order_created_ts,last_modified_ts,spacing_minutes,rate_type,order_item_id,psi/description,pour_element,extended_pour_element,pour_element_information,pour_method,local_time_zone,location_latitude,location_longitude
aca1459a-dd20-456a-94bc-30a722f34c20,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-04 17:30:00+00:00,2019-11-27 15:30:11.896000+00:00,2019-12-04 19:49:16.106000+00:00,60,SPACING_IN_MINUTES,84bc6d61-06cf-4de9-a6c8-23a203682672,"5000,PERFORM64,6",other,core_wall,,crane_and_bucket,America/New_York,38.973113,-77.028793
5f9005eb-ff29-46d1-8a67-69cfa8c9f177,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-04 19:00:00+00:00,2019-11-27 02:37:24.447000+00:00,2019-12-04 20:48:55.643000+00:00,60,SPACING_IN_MINUTES,705ca745-8584-45a0-b8b7-3f5f2bfee1d9,"5000,PERFORM64,6",,,,direct_from_truck,America/New_York,38.909378,-76.999695
5f9005eb-ff29-46d1-8a67-69cfa8c9f177,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-04 19:00:00+00:00,2019-11-27 02:37:24.447000+00:00,2019-12-04 20:48:55.643000+00:00,60,SPACING_IN_MINUTES,4e0b3abd-a2e2-40fc-9eb4-edfa5a860470,"5000,PERFORM64,6",,,,crane_and_bucket,America/New_York,38.909378,-76.999695
57d32005-ab3d-414f-bcfc-b74d40c02425,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-05 14:00:00+00:00,2019-11-27 02:38:23.684000+00:00,2019-12-05 18:50:39.528000+00:00,60,SPACING_IN_MINUTES,369d14da-d16f-44a3-ba54-8283ada81d33,"5000,PERFORM64,6",,,,,America/New_York,38.909225,-76.999130
57d32005-ab3d-414f-bcfc-b74d40c02425,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-05 14:00:00+00:00,2019-11-27 02:38:23.684000+00:00,2019-12-05 18:50:39.528000+00:00,45,SPACING_IN_MINUTES,8e5737e3-2b94-4141-b6a8-df14fe12a738,"5000,PERFORM64,6",,,,crane_and_bucket,America/New_York,38.909225,-76.999130
9b170f06-64a5-45c8-bb71-3b361afa5903,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-06 18:00:00+00:00,2019-11-27 02:39:25.106000+00:00,2019-12-07 06:00:15.088000+00:00,45,SPACING_IN_MINUTES,0b3b2181-243e-4813-9ad5-cdc4601b8425,"5000,PERFORM64,6",,,,crane_and_bucket,America/New_York,38.909834,-76.998617
c0d038db-4bbe-444a-81b4-9b54f55b74ae,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-11 14:00:00+00:00,2019-12-04 12:15:09.455000+00:00,2019-12-11 20:04:56.634000+00:00,45,SPACING_IN_MINUTES,f51cfc91-cdb5-43c0-bb2b-dc4b2bae88e6,"5000,PERFORM64,6",,,,crane_and_bucket,America/New_York,38.909331,-76.999130
424fc3f1-25f2-42d1-aaf3-d347512e3913,78bcea62-06d6-4e0b-b2bd-3b9e464ac3b4,2019-12-12 15:00:00+00:00,2019-12-04 12:15:57.283000+00:00,2019-12-12 21:20:45.736000+00:00,45,SPACING_IN_MINUTES,3164fa08-2b24-419f-98e3-5c74fe1af33c,"5000,PERFORM64,6",,,,crane_and_bucket,America/New_York,38.909363,-76.998810
65745360-5209-467d-a47a-5fa2b313739b,fa7077a4-e9b7-4075-bd14-b5d890a41fc6,2019-12-18 12:55:00+00:00,2019-12-17 13:40:19.719000+00:00,2019-12-18 19:46:14.390000+00:00,60,SPACING_IN_MINUTES,0dec930d-58a8-4c96-98f6-612a4705c548,"100,FINEGROUT,65",,,,pump,America/New_York,38.863830,-77.012588
65745360-5209-467d-a47a-5fa2b313739b,92c912c4-966f-4361-9c9f-c4343d1db64c,2019-12-18 12:55:00+00:00,2019-12-17 13:40:19.719000+00:00,2019-12-18 19:46:14.390000+00:00,60,SPACING_IN_MINUTES,808d94f0-b781-4c6d-8b00-60c7be8d87d3,"5000,PERFORM64,6",other,other,,pump,America/New_York,38.863830,-77.012588
